// Statistic and classification of LTP testcases (on RISC-V musl)
// newly passed testcases should be updated here, not in the rank files.
// Testcases are composed of "units".
// Classification rules:
// 1. all pass:			pass all units
// 2. skip pass:			at least one passed but some units stay not tested due to unimplement feature \
				or output indecates that it passed but not with "TPASS" format
// 3. part fail: 			at least one failed units(sometimes caused by timeout)
// 4. skip:				skip without pass
// 5. skip consuming time:		skip without pass and cost more than 30 seconds
// 4. all fail:			fail all units
// 5. defect panic: 			panicked with wrong implementation
// 6. unimplement panic: 		panic caused by unimplemented syscall(label the syscall number parentheses) or unimplemented function
// 7. timeout with pass: 		timeout but pass at least unit(Timeout means stuck for more than 1 min. When output say "timeout" we call it "skip")
// 8. timeout no pass:			timeout and no pass units
// 9. skip:				some how totally skipped

name			type		pass	fail+broken
dirtypipe			all pass		1	0
dma_thread_diotest		skip		0	0
dns-stress-lib.sh		skip		0	0
dns-stress.sh		all fail		0	1
dns-stress01-rmt.sh		all fail		0	1
dns-stress02-rmt.sh		all fail		0	1
dnsmasq_tests.sh		skip		0	0
doio			timeout no pass	0	0
du01.sh			skip		0	0
dup01			all pass		2	0
dup02			all pass		2	0
dup03			all pass		1	0
dup04			all pass		2	0
dup05			unimplement panic	0	0
dup06			all pass		1	0		
dup07			all pass		3	0
dup201			defect panic	2	0
dup202			all pass		6	0
dup203			all pass		4	0
dup204			all pass		4	0
dup205			all pass		1	0
dup206			all pass		1	0
dup207			all pass		2	0
dup3_01			all pass		2	0
dup3_02			part fail		2	1
dynamic_debug01.sh		skip		0	0
ebizzy			skip		0	0
eject-tests.sh		skip		0	0		
eject_check_tray		skip		0	0
endian_switch01		skip		0	0
epoll-ltp			part fail		32	1
epoll_create01		skip pass		2	0
epoll_create02		all fail		0	2
epoll_create1_01		all pass		2	0
epoll_create1_02		all pass		2	0		
epoll_ctl01			all pass		3	0
epoll_ctl02			all pass		8	1
epoll_ctl03			all pass		256	0
epoll_ctl04			all fail		0	1
epoll_ctl05			all fail		0	1		
epoll_pwait01		timeout no pass	0	0
epoll_pwait02		unimplement panic	0	0
epoll_pwait03		unimplement panic	1	6
epoll_pwait04		unimplement panic	0	1
epoll_pwait05		unimplement panic	0	0		
epoll_wait01		timeout no pass	0	0
epoll_wait02		part fail		1	6
epoll_wait03		all pass		5	0
epoll_wait04		all pass		1	0
epoll_wait05		all fail		0	1
epoll_wait06		part fail		2	7
epoll_wait07		part fail		2	3
event_generator		skip		0	0
eventfd01			all pass		2	0
eventfd02			part fail		1	1
eventfd03			all pass		2	0
eventfd04			all fail		0	1
eventfd05			all pass		2	0
eventfd06			all fail		0	1
eventfd2_01			all pass		2	0
eventfd2_02			part fail		1	1
eventfd2_03			all pass		2	0
evm_overlay.sh		skip		0	0
exec_with_inh		skip		0	0
exec_without_inh		skip		0	0
execl01			skip		0	0
execl01_child		skip		0	0
execle01			skip		0	0
execle01_child		skip		0	0
execlp01			all fail		0	2
execlp01_child		skip		0	0
execv01			skip		0	0
execv01_child		skip		0	0
execve01			skip		0	0
execve01_child		skip		0	0
execve02			all fail		0	1
execve03			part fail		1	5
execve04			all fail		0	1
