[rank] test_name        pass  total_line
[ 399] pwrite02             5    14
[ 400] read02               5    14
[ 401] readv02              5    14
[ 402] sched_rr_get_interval03     5    17
[ 403] sendfile04           5    14
[ 404] sendfile04           5    14
[ 405] setregid01           5    14
[ 406] statvfs02            5    14
[ 407] statx02              5    14
[ 408] swapoff01            5    81
[ 409] libswap              5    86
[ 410] swapon03             5   217
[ 411] sync01               5    57
[ 412] sync_file_range01     5    15
[ 413] syncfs01             5    57
[ 414] utime03              5    58
[ 415] utime07              5    21
[ 416] waitid01             5    15
[ 417] waitid07             5    15
[ 418] waitid10             5    15
[ 419] waitid11             5    14
[ 420] arch_prctl01         4    39
[ 421] chmod03              4    12
[ 422] clock_nanosleep04     4    15
[ 423] clock_settime01      4    14
[ 424] dup201               4    12
[ 425] dup203               4    14
[ 426] dup204               4    12
[ 427] epoll_create01       4    14
[ 428] epoll_create02       4    14
[ 429] epoll_pwait01        4    14
[ 430] eventfd01            4    13
[ 431] fanotify17           4    21
[ 432] fanotify22           4    33
[ 433] fcntl13              4    12
[ 434] fcntl13              4   220
[ 435] fcntl30              4    12
[ 436] fcntl30              4    50
[ 437] fcntl39              4    15
[ 438] fcntl39              4    18
[ 439] flock06              4    12
[ 440] ftruncate03          4    12
[ 441] ftruncate03          4    22
[ 442] futex_wait01         4    13
[ 443] getpriority02        4    12
[ 444] getrandom01          4    12
[ 445] getrandom02          4    12
[ 446] getxattr01           4    13
[ 447] getxattr03           4    62
[ 448] hugemmap20           4    14
[ 449] hugeshmctl01         4    13
[ 450] hugeshmget02         4    13
[ 451] inotify07            4    20
[ 452] inotify_init1_01     4    12
[ 453] inotify_init1_02     4    33
[ 454] ioctl04              4    13
[ 455] ioctl_ns07           4    12
[ 456] iopl01               4    13
[ 457] kcmp03               4    13
[ 458] keyctl09             4    14
[ 459] link08               4    50
[ 460] listxattr02          4    12
[ 461] llistxattr02         4    12
[ 462] lseek01              4    12
[ 463] mkdirat02            4    13
[ 464] mlock01              4    17
[ 465] mlock202             4    13
[ 466] mmap18               4    25
[ 467] mq_unlink01          4    33
[ 468] msgrcv01             4    13
[ 469] munlock01            4    17
[ 470] pidfd_send_signal02     4    13
[ 471] pidns02              4    15
[ 472] pidns16              4    16
[ 473] pipe13               4    17
[ 474] pivot_root01         4    30
[ 475] ptrace01             4    17
[ 476] remap_file_pages02     4    20
[ 477] rename12             4    47
[ 478] sched_getaffinity01     4    21
[ 479] sched_getparam01     4    15
[ 480] sched_setaffinity01     4    18
[ 481] semop01              4    15
[ 482] send02               4    17
[ 483] sendfile03           4    13
[ 484] sendfile03           4    13
[ 485] sendmmsg01           4    16
[ 486] sendmmsg02           4    34
[ 487] setegid01            4    16
[ 488] setfsgid02           4    13
[ 489] setresgid03          4    13
[ 490] setresuid02          4    13
[ 491] shmat01              4    14
[ 492] shmctl03             4    13
[ 493] shmctl07             4    13
[ 494] sigpending02         4    21
[ 495] socket02             4    13
[ 496] socketpair02         4    22
[ 497] splice06             4    13
[ 498] statx05              4    23
[ 499] statx06              4    16
[ 500] statx09              4    16
[ 501] sysfs05              4    18
[ 502] utime06              4    14
[ 503] waitpid04            4    13
[ 504] waitpid09            4    13
[ 505] af_alg04             3    14
[ 506] alarm05              3    11
[ 507] bind03               3    11
[ 508] bpf_prog02           3    14
[ 509] capset01             3    12
[ 510] chdir04              3    21
[ 511] close01              3    11
[ 512] dup07                3    11
[ 513] dup3_02              3    16
[ 514] epoll_ctl01          3    11
[ 515] epoll_pwait05        3    11
[ 516] epoll_wait01         3    12
[ 517] eventfd03            3    12
[ 518] eventfd04            3    12
[ 519] faccessat01          3    11
[ 520] fchmod06             3    12
[ 521] fchown04             3    12
[ 522] fcntl29              3    11
[ 523] fcntl29              3    11
[ 524] fcntl37              3    15
[ 525] fcntl37              3    16
[ 526] flock01              3    11
[ 527] flock02              3    11
[ 528] flock03              3    11
[ 529] fork04               3    16
[ 530] futex_cmp_requeue02     3    12
[ 531] getcwd02             3    12
[ 532] getdents01           3    30
[ 533] getitimer02          3    13
[ 534] getpriority01        3    11
[ 535] getrusage02          3    51
[ 536] UNKNOWN              3    11
[ 537] getxattr05           3  8961
[ 538] hugeshmat01          3    12
[ 539] hugeshmat04          3    16
[ 540] hugeshmctl03         3    12
[ 541] in6_02               3    47
[ 542] inotify03            3    14
[ 543] inotify08            3    15
[ 544] ioctl05              3    12
[ 545] ioctl_loop04         3    12
[ 546] ioctl_loop06         3    21
[ 547] ioprio_set02         3    11
[ 548] ioprio_set03         3    14
[ 549] keyctl05             3    15
[ 550] kill03               3    11
[ 551] lgetxattr02          3    11
[ 552] memfd_create03       3    26
[ 553] mlock02              3    12
[ 554] mmap09               3    12
[ 555] mremap06             3    15
[ 556] msgctl12             3    12
[ 557] msgrcv03             3    15
[ 558] msgsnd01             3    12
[ 559] nanosleep04          3    13
[ 560] nice01               3    12
[ 561] pidfd_open02         3    12
[ 562] pidfd_open04         3    12
[ 563] pidns06              3    13
[ 564] pidns10              3    14
[ 565] pidns12              3    12
[ 566] pread02              3    12
[ 567] pread02              3    13
[ 568] preadv01             3    13
[ 569] preadv01             3    12
[ 570] preadv203            3    88
[ 571] pselect02            3    12
[ 572] pselect02            3    12
[ 573] ptrace08             3    15
[ 574] pwritev01            3    12
[ 575] pwritev01            3    12
[ 576] request_key02        3    12
[ 577] sbrk01               3    12
[ 578] semctl05             3    14
[ 579] semget01             3    12
[ 580] setgroups02          3    13
[ 581] setgroups03          3    13
[ 582] setitimer02          3    22
[ 583] setpgid02            3    12
[ 584] setpriority01        3    14
[ 585] setresuid03          3    12
[ 586] setresuid04          3    12
[ 587] setreuid04           3    12
[ 588] setreuid06           3    12
[ 589] setreuid07           3    12
[ 590] settimeofday02       3    16
[ 591] shmat02              3    12
[ 592] shmget04             3    16
[ 593] signal02             3    12
[ 594] sigwait              3    12
[ 595] syscall01            3    69
[ 596] tee02                3    60
[ 597] userns05             3    17
[ 598] vmsplice02           3    14
[ 599] wait401              3    12
[ 600] write05              3    13
[ 601] abort01              2    14
[ 602] adjtimex01           2    11
[ 603] alarm03              2    10
[ 604] alarm06              2    10
[ 605] alarm07              2    10
[ 606] bpf_prog01           2    12
[ 607] brk01                2    12
[ 608] brk02                2    14
[ 609] cfs_bandwidth01      2    14
[ 610] cgroup_core03        2    25
[ 611] chown02              2    10
[ 612] chroot02             2    11
[ 613] clock_nanosleep03     2    12
[ 614] clone01              2    13
[ 615] copy_file_range03     2   133
[ 616] creat04              2    10
[ 617] dup207               2    12
[ 618] dup3_01              2    10
[ 619] epoll_create1_01     2    10
[ 620] epoll_create1_02     2    10
[ 621] epoll_pwait02        2    12
[ 622] epoll_pwait04        2    12
[ 623] eventfd05            2    11
[ 624] eventfd2_01          2    10
[ 625] eventfd2_02          2    10
[ 626] eventfd2_03          2    21
[ 627] faccessat02          2    11
[ 628] fanotify05           2    26
[ 629] fanotify07           2    10
[ 630] fanotify08           2    14
[ 631] fanotify11           2    21
[ 632] fchown02             2    10
[ 633] fcntl27              2    12
[ 634] fcntl27              2    12
[ 635] fcntl35              2    10
[ 636] fcntl35              2    10
[ 637] fcntl38              2    11
[ 638] fcntl38              2    11
[ 639] flistxattr02         2    10
[ 640] flistxattr03         2    20
[ 641] fork01               2    10
[ 642] fork10               2    10
[ 643] fsopen02             2    12
[ 644] fstat03              2    10
[ 645] fstat03              2    17
[ 646] fstatfs02            2    10
[ 647] fstatfs02            2    10
[ 648] ftruncate01          2    12
[ 649] ftruncate01          2    12
[ 650] futex_wait_bitset01     2    14
[ 651] getcontext01         2    10
[ 652] geteuid02            2    10
[ 653] getpgid02            2    10
[ 654] getpgrp01            2    10
[ 655] getpid02             2    10
[ 656] getrandom05          2    28
[ 657] getrlimit02          2    10
[ 658] getrusage01          2    10
[ 659] UNKNOWN              2    10
[ 660] getuid03             2    10
[ 661] hugefork01           2    12
[ 662] hugemmap08           2    17
[ 663] hugemmap22           2    12
[ 664] hugeshmat02          2    11
[ 665] ioctl_ns01           2    10
[ 666] ioctl_ns05           2    10
[ 667] ioperm02             2    13
[ 668] iopl02               2    10
[ 669] io_submit02          2    11
[ 670] keyctl01             2    10
[ 671] keyctl07             2    11
[ 672] lgetxattr01          2    10
[ 673] link02               2    10
[ 674] listxattr03          2    10
[ 675] llistxattr03         2    10
[ 676] llseek02             2    10
[ 677] lseek07              2    10
[ 678] madvise06            2    54
[ 679] madvise08            2    13
[ 680] mallinfo01           2    43
[ 681] mallinfo02           2    10
[ 682] memcmp01             2    11
[ 683] memcontrol01         2    12
[ 684] memcpy01             2    13
[ 685] mincore02            2    11
[ 686] mincore03            2    11
[ 687] mknod02              2    37
[ 688] mlock05              2    11
[ 689] mountns01            2    22
[ 690] mountns02            2    22
[ 691] mountns03            2    23
[ 692] mq_notify02          2    11
[ 693] msgctl02             2    11
[ 694] msgctl03             2    11
[ 695] msgget04             2    12
[ 696] msgsnd05             2    11
[ 697] munlockall01         2    19
[ 698] nanosleep02          2    11
[ 699] open01               2    11
[ 700] open02               2    11
[ 701] open09               2    11
[ 702] pidfd_send_signal01     2    11
[ 703] pidns01              2    12
[ 704] pidns04              2    13
[ 705] pipe03               2    16
[ 706] pipe07               2    13
[ 707] pipe2_04             2    13
[ 708] poll01               2    11
[ 709] prctl01              2    11
[ 710] preadv203            2    54
[ 711] process_vm_writev02     2    14
[ 712] ptrace03             2   130
[ 713] readlink01           2    13
[ 714] reboot01             2    11
[ 715] reboot02             2    26
[ 716] rmdir03              2    35
[ 717] rt_sigqueueinfo01     2    11
[ 718] rt_sigsuspend01      2    19
[ 719] sched_getscheduler02     2    13
[ 720] sched_rr_get_interval02     2    13
[ 721] sched_setparam01     2    13
[ 722] sched_setparam03     2    13
[ 723] sched_setparam05     2    13
[ 724] sched_setscheduler02     2    13
[ 725] semctl04             2    11
[ 726] semtest_2ns          2    22
[ 727] sendfile02           2    11
[ 728] sendfile02           2    11
[ 729] sendfile09           2    12
[ 730] sendfile09           2    12
[ 731] sendto03             2    11
[ 732] setdomainname01      2    13
[ 733] setdomainname03      2    13
[ 734] setfsgid01           2    11
[ 735] setfsuid01           2    11
[ 736] setgid03             2    11
[ 737] setdomainname01      2    13
[ 738] setdomainname03      2    16
[ 739] setpgid03            2    18
[ 740] setpgrp02            2    11
[ 741] setresuid05          2    11
[ 742] setrlimit02          2    11
[ 743] setrlimit03          2    11
